id,title,path,display_url,keywords,description
antiques,Pearse & Penumbra,/antiques/,pearseandpenumbracurios.co.uk,"antiques,curio,curios,videotape,vhs,occult,rare objects,jewellery,london,vintage,artefacts","Antique dealers specialising in rare objects, occult curiosities, and estate pieces. Established London shop with private valuations available."
augury13,Augury 13,/augury13/,augury13.org,"augury,prophecy,ritual,oracle,tarot,magic,psychic,astrology,spiritual guidance,clairvoyant,scying","Soho-based psychic boutique offering tarot, astrology, and intuitive readings. Trusted spiritual insight from experienced practitioners."
biogen,BioGen Systems,/biogen/,biogen-systems.co.uk,"biogen,biotech,genetics,blood,research,biotechnology,life sciences,clinical research","UK-based biotechnology company focused on applied research, clinical partnerships, and next-generation biological systems."
cityfall,Cityfall Provisions,/cityfall/,survive-the-apocalypse.co.uk,"prepping,survival,apocalypse,armageddon,teotwawki,surplus,supplies,guns,emergency,tactical,outdoor,edc","Independent supplier of survival gear, long-life food, and military surplus for preparedness, outdoor use, and emergency planning."
exhibit,Natural History Museum - Lives of the Ancients,/exhibit/,https://www.nhm.ac.uk/visit/exhibitions/livesoftheancient.html,"museum,history,tablet,ancient,mystery,prehistoric,extinction,exhibition","Permanent exhibition exploring prehistoric life, extinction events, and the evolving relationship between species and environment."
gallery19,Gallery19,/gallery19/,gallery19.co.uk,"museum,art,gallery,exhibit,contemporary,emerging artists,london,modern",Contemporary art gallery showcasing emerging and mid-career artists through rotating exhibitions and private viewings.
meatpack,Spitalfields Meats,/meatpack/,spitalfieldsmeat.com,"meat,butcher,ethical,specialty,offal,exotic meat","Independent butcher specialising in traditional cuts, specialty meats, and ethically sourced produce in East London."
metromash,MetroMash,/metromash/,metromash.com,"news,tabloid,stories,celebs,celebrity,gossip,pop culture,viral,entertainment","The UK’s loudest pop culture tabloid serving celebrity drama, viral stories, and bite-sized news you can scroll in seconds."
sanguine,Sanguine Holdings,/sanguine/,sanguine-holdings.org,"money,hedgefund,finance,canary wharf,business,ftse100,investment,asset management,private holdings,corporate","Private investment and asset management firm with interests across property, logistics, and specialist ventures."
secondcoming,Second Coming - London's Premier Adult Store,/secondcoming/,second-coming.co.uk,"adult,bdsm,kink,sex,dildo,toys,lingerie,intimate,lgbt,queer,fetish","A playful, proudly queer adult store blending kink, camp, and couture. Toys, gear, and gifts with a wicked sense of humour."
truthseeker,TruthSeeker - Award-winning YouTuber,/truthseeker/,follow-the-truth.tv,"conspiracy,truth,youtube,ufo,bigfoot,lizard people,illuminati,aliens","Award-winning online creator producing investigative video content on hidden histories, conspiracies, and media narratives."
vesperine,Vesperine,/vesperine/,vesperine.com,"fashion,runway,high fashion,couture,designer,label,collection","International luxury fashion house known for precision tailoring, avant-garde design, and meticulously curated collections."
